Gemeinde,Kanton,Einwohner,Fläche
Büetigen,BE,916,3.61
Bühl,BE,482,2.97
Bühler,AR,1934,5.6
Bülach,ZH,24508,16.09
Bulle,FR,27101,23.86
Bullet,VD,681,16.82
Bünzen,AG,1245,5.78
Buochs,NW,5483,9.96
Bürchen,VS,767,13.46
Bure,JU,645,13.68
Büren (SO),SO,1077,6.23
Büren an der Aare,BE,3806,12.6
Burg im Leimental,BL,286,2.84
Burgdorf,BE,17292,15.56
Burgistein,BE,1069,7.53
Bürglen (TG),TG,4173,11.71
Bürglen (UR),UR,3901,53.06
Büron,LU,2768,5.37
Bursinel,VD,532,1.78
Bursins,VD,814,3.37
Burtigny,VD,401,5.68
Buseno,GR,91,11.15
Büsserach,SO,2450,7.55
Bussigny,VD,11632,4.81
Bussnang,TG,2615,18.88
Busswil bei Melchnau,BE,166,2.86
Bussy-sur-Moudon,VD,262,3.12
Bütschwil-Ganterschwil,SG,5336,21.83
Büttenhardt,SH,438,4
Büttikon,AG,1170,2.82
Buttisholz,LU,3486,16.71
Buttwil,AG,1297,4.57
Buus,BL,1134,8.85
Cademario,TI,790,3.96
Cadempino,TI,1585,0.76
Cadenazzo,TI,3132,8.38
Calanca,GR,204,37.72
Cama,GR,720,14.99
Campo (Vallemaggia),TI,49,43.3
Canobbio,TI,2404,1.28
Capriasca,TI,6717,36.38
Carouge (GE),GE,22488,2.7
Cartigny,GE,1050,4.38
Caslano,TI,4400,2.79
Castaneda,GR,254,3.96
Castel San Pietro,TI,2262,11.84
Cazis,GR,2439,31.18
Celerina/Schlarigna,GR,1415,24.02
Céligny,GE,862,4.66
Centovalli,TI,1070,53.39
Cerentino,TI,37,20.1
Cevio,TI,1111,151.31
Chalais,VS,3927,24.34
Cham,ZG,18273,17.73
Chamblon,VD,554,2.86
Chamoson,VS,4389,32.47
Champagne,VD,1070,3.91
Champéry,VS,1404,38.85
Champoz,BE,150,7.17
Champtauroz,VD,196,3.05
Champvent,VD,724,9.03
Chancy,GE,1664,5.38
Chardonne,VD,3337,10.31
Château-d’Oex,VD,3653,113.67
Châtel-Saint-Denis,FR,8786,47.93
Châtel-sur-Montsalvens,FR,358,2.03
Châtillon (FR),FR,528,1.28
Châtillon (JU),JU,475,5.31
Châtonnaye,FR,860,6.31
Chavannes-de-Bogis,VD,1384,2.86
Chavannes-des-Bois,VD,983,2.12
Chavannes-le-Chêne,VD,322,4
Chavannes-le-Veyron,VD,160,2.64
Chavannes-près-Renens,VD,9774,1.65
Chavannes-sur-Moudon,VD,229,5.15
Chavornay,VD,5440,19.28
Chêne-Bougeries,GE,14342,4.14
Chêne-Bourg,GE,9578,1.28
Chêne-Pâquier,VD,173,2.11
Chénens,FR,886,3.94
Cheseaux-Noréaz,VD,736,5.99
Cheseaux-sur-Lausanne,VD,4847,4.59
Chéserex,VD,1279,10.58
Chessel,VD,527,3.56
Chevilly,VD,346,3.89
Chevroux,VD,494,4.33
Chexbres,VD,2261,2.15
Cheyres-Châbles,FR,2487,9.79
Chiasso,TI,7564,5.35
Chigny,VD,420,0.89
Chippis,VS,1615,1.97
Choulex,GE,1232,3.91
Chur,GR,39486,81.99
Churwalden,GR,2114,48.53
Clarmont,VD,228,1.02
Clos du Doubs,JU,1304,61.75
Coeuve,JU,717,11.62
Coinsins,VD,519,2.91
Coldrerio,TI,2834,2.46
Collex-Bossy,GE,1666,6.89
Collina d’Oro,TI,4903,6.14
Collombey-Muraz,VS,10051,29.75
Collonge-Bellerive,GE,8643,6.12
Collonges,VS,869,12.21
Cologny,GE,6027,3.67
Comano,TI,2186,2.06
Commugny,VD,2973,6.53
Concise,VD,1025,11.37
Confignon,GE,4553,2.77
Conters im Prättigau,GR,224,18.4
Conthey,VS,9408,84.95
Coppet,VD,3232,1.87
Corbeyrier,VD,452,22
Corbières,FR,1042,9.62
Corcelles (BE),BE,186,6.79
Corcelles-le-Jorat,VD,499,7.94
Corcelles-près-Concise,VD,434,4.06
Corcelles-près-Payerne,VD,2982,12.11
Corgémont,BE,1819,17.67
Corminboeuf,FR,3029,7.23
Cormoret,BE,511,13.48
Cornaux,NE,1682,4.73
Cornol,JU,1083,10.45
Corseaux,VD,2320,1.06
Corsier (GE),GE,2313,2.74
Corsier-sur-Vevey,VD,3385,6.74
Cortaillod,NE,4807,3.69
Cortébert,BE,660,14.75
Cossonay,VD,4893,8.28
Cottens (FR),FR,1529,4.97
Courchapoix,JU,449,6.39
Courchavon,JU,323,6.19
Courgenay,JU,2439,18.44
Courgevaux,FR,1458,3.38
Courrendlin,JU,3687,21.55
Courroux,JU,3443,19.74
Court,BE,1371,24.61
Courtedoux,JU,761,8.21
Courtelary,BE,1447,22.2
Courtepin,FR,5772,21.92
Courtételle,JU,2788,13.56
Crans,VD,2445,4.31
Crans-Montana,VS,10496,59.66
Crassier,VD,1275,2.03
Crémines,BE,537,9.48
Cressier (FR),FR,1109,4.17
Cressier (NE),NE,2005,8.57
Crésuz,FR,486,1.79
Crissier,VD,10676,5.5
Cronay,VD,426,6.58
Croy,VD,403,4.48
Cuarnens,VD,561,7.13
Cuarny,VD,241,4.56
Cudrefin,VD,1885,15.82
Cugnasco-Gerra,TI,2858,18.21
Cugy (FR),FR,2030,9.88
Cugy (VD),VD,2787,2.91
Cureglia,TI,1483,1.06
Curtilles,VD,308,4.96
Dachsen,ZH,1926,2.7
Dägerlen,ZH,1159,7.95
Dagmersellen,LU,6004,23.87
Daillens,VD,1097,5.52
Dallenwil,NW,1871,15.47
Dällikon,ZH,4466,4.51
Dalpe,TI,185,14.55
Damphreux-Lugnez,JU,370,10.77
Däniken,SO,3073,5.43
Dänikon,ZH,1866,2.87
Dardagny,GE,1828,8.6
Därligen,BE,416,6.93
Därstetten,BE,868,32.84
Dättlikon,ZH,839,2.88
Davos,GR,10774,284
Degersheim,SG,4216,14.48
Deisswil bei Münchenbuchsee,BE,85,2.16
Deitingen,SO,2338,7.6
Delémont,JU,12813,21.97
Delley-Portalban,FR,1319,7.23
Démoret,VD,173,4.28
Denens,VD,742,3.3
Denges,VD,1830,1.66
Densbüren,AG,769,12.52
Derendingen,SO,7133,5.62
Develier,JU,1393,12.47
Diegten,BL,1643,9.64
Dielsdorf,ZH,6725,5.87
Diemtigen,BE,2304,129.94
Diepflingen,BL,835,1.44
Diepoldsau,SG,6939,11.25
Dierikon,LU,1685,2.78
Diessbach bei Büren,BE,1052,6.33
Diessenhofen,TG,4138,10.08
Dietikon,ZH,28295,9.34
Dietlikon,ZH,8027,4.25
Dietwil,AG,1417,5.49
Dinhard,ZH,1731,7.07
Dintikon,AG,2428,3.72
Disentis/Mustér,GR,2104,90.99
Dittingen,BL,740,6.75
Dizy,VD,238,3.04
Domat/Ems,GR,8392,24.22
Domleschg,GR,2262,45.94
Dompierre (VD),VD,240,3.21
Donneloye,VD,916,9.01
Doppleschwand,LU,824,6.95
Dorénaz,VS,1113,12.58
Dorf,ZH,728,5.56
Dörflingen,SH,1056,5.82
Dornach,SO,6901,5.79
Dottikon,AG,4257,3.88
Döttingen,AG,4561,6.93
Dotzigen,BE,1580,4.23
Dozwil,TG,732,1.3
Drei Höfe,SO,732,4.57
Dübendorf,ZH,32571,13.62
Düdingen,FR,9116,30.76
Duggingen,BL,1621,5.86
Duillier,VD,1140,4.11
Dulliken,SO,5450,6.04
Dully,VD,620,1.64
Dürnten,ZH,8048,10.22
Dürrenäsch,AG,1375,5.91
Dürrenroth,BE,1077,14.13
Ebikon,LU,14788,9.68
Ebnat-Kappel,SG,5323,43.55
Echallens,VD,6719,6.66
Echandens,VD,2999,3.88
Echarlens,FR,846,4.66
Echichens,VD,3222,13.27
Eclépens,VD,1210,5.8
Ecublens (VD),VD,13364,5.72
Ederswiler,JU,115,3.31
Egerkingen,SO,4311,6.95
Egg,ZH,8815,14.53
Eggenwil,AG,1055,2.46
Eggerberg,VS,338,6.05
Eggersriet,SG,2434,8.9
Eggiwil,BE,2451,60.31
Eglisau,ZH,5750,9.06
Egliswil,AG,1605,6.29
Egnach,TG,5180,18.43
Egolzwil,LU,1664,4.18
Ehrendingen,AG,4928,7.29
Eich,LU,1750,5.94
Eichberg,SG,1617,5.44
Eiken,AG,2516,7.08
Einsiedeln,SZ,16532,98.93
Eischoll,VS,460,14.15
Eisten,VS,192,38.01
Elgg,ZH,5175,24.39
Ellikon an der Thur,ZH,1024,5.02
Elsau,ZH,3898,8.07
Embd,VS,285,14.04
Embrach,ZH,10356,12.69
Emmen,LU,32619,20.37
Emmetten,NW,1668,24.92
Endingen,AG,2717,11.91
Engelberg,OW,4416,74.87
Ennetbaden,AG,3703,2.11
Ennetbürgen,NW,5327,9.32
Ennetmoos,NW,2338,14.07
Entlebuch,LU,3422,56.9
Epalinges,VD,9905,4.57
Ependes (VD),VD,379,4.81
Eppenberg-Wöschnau,SO,340,1.81
Epsach,BE,366,3.41
Eptingen,BL,560,11.18
Ergisch,VS,183,29.53
Eriswil,BE,1337,11.34
Eriz,BE,480,21.78
Erlach,BE,1394,3.55
Erlen,TG,3980,12.19
Erlenbach (ZH),ZH,5505,2.89
Erlenbach im Simmental,BE,1731,36.69
Erlinsbach (AG),AG,4639,9.86
Erlinsbach (SO),SO,3736,8.87
Ermatingen,TG,3780,10.46
Ermensee,LU,1044,5.69
Ernen,VS,544,35.37
Erschwil,SO,967,7.43
Ersigen,BE,2032,15.46
Erstfeld,UR,3961,59.08
Eschenbach (LU),LU,3779,13.21
Eschenbach (SG),SG,10266,54.89
Eschenz,TG,1923,12.02
Eschert,BE,387,6.58
Eschlikon,TG,4916,6.22
Escholzmatt-Marbach,LU,4559,106.4
Essertines-sur-Rolle,VD,785,6.95
Essertines-sur-Yverdon,VD,1142,9.75
Estavayer,FR,10623,40.38
Etagnières,VD,1191,3.78
Etoy,VD,2962,4.92
Ettingen,BL,5567,6.32
Ettiswil,LU,2904,12.58
Etziken,SO,1069,3.37
Evilard,BE,2657,3.7
Evionnaz,VS,1500,48.08
Evolène,VS,1666,209.89
Eysins,VD,1774,2.38
Fahrni,BE,800,6.68
Fahrwangen,AG,2536,4.01
Fahy,JU,337,7.78
Faido,TI,2705,132.58
Falera,GR,635,22.36
Fällanden,ZH,9637,6.38
Faoug,VD,895,3.49
Farnern,BE,226,3.68
Féchy,VD,923,2.7
Fehraltorf,ZH,6883,9.47
Fehren,SO,600,1.48
Felben-Wellhausen,TG,3232,7.38
Feldbrunnen-St. Niklaus,SO,1071,2.51
Felsberg,GR,2886,13.4
Ferden,VS,248,27.92
Ferenbalm,BE,1253,9.13
Ferpicloz,FR,248,1.02
Ferrera,GR,76,75.46
Ferreyres,VD,309,3.16
Fétigny-Ménières,FR,1729,8.48
Feuerthalen,ZH,3848,2.48
Feusisberg,SZ,5600,17.5
Fey,VD,789,7.34
Fideris,GR,626,25.36
Fiesch,VS,910,11.03
Fieschertal,VS,357,172.82
Fiez,VD,432,6.83
Finhaut,VS,418,22.82
Finsterhennen,BE,570,3.57
Fischbach,LU,724,8.05
Fischbach-Göslikon,AG,1733,3.07
Fischenthal,ZH,2666,30.24
Fischingen,TG,3028,30.58
Fisibach,AG,605,5.77
Fislisbach,AG,6140,5.05
Flaach,ZH,1494,10.17
Fläsch,GR,879,19.94
Flawil,SG,10632,11.47
Flerden,GR,255,6.09
Flims,GR,2902,50.5
Flüelen,UR,2071,12.38
Flühli,LU,1858,108.17
Flumenthal,SO,1052,3.11
Flums,SG,5400,75.15
Flurlingen,ZH,1520,2.42
Fontaines-sur-Grandson,VD,219,7.86
Fontenais,JU,1632,19.99
Forel (Lavaux),VD,2087,18.51
Forst-Längenbühl,BE,779,4.5
Founex,VD,3763,4.79
Fräschels,FR,445,3.11
Fraubrunnen,BE,5498,31.91
Frauenfeld,TG,27099,27.35
Frauenkappelen,BE,1470,9.29
Freienbach,SZ,17028,13.8
Freienstein-Teufen,ZH,2372,8.4
Freienwil,AG,1100,3.99
Freimettigen,BE,453,2.96
Frenkendorf,BL,6651,4.59
Fribourg,FR,39151,9.29
Frick,AG,5924,9.96
Froideville,VD,2729,7.08
Frutigen,BE,7100,72.28
Fulenbach,SO,1821,4.48
Full-Reuenthal,AG,1013,4.78
Füllinsdorf,BL,4730,4.62
Fully,VS,9310,37.81
Furna,GR,203,33.32
Fürstenau,GR,353,1.32
Gächlingen,SH,1029,7.13
Gachnang,TG,4636,9.74
Gais,AR,3134,21.21
Gaiserwald,SG,8714,12.63
Galgenen,SZ,5463,13.27
Gals,BE,849,7.85
Gambarogno,TI,5024,51.79
Gampel-Bratsch,VS,2247,23.04
Gampelen,BE,1016,10.84
Gams,SG,3728,22.27
Gansingen,AG,1128,8.77
Gebenstorf,AG,5807,5.65
Gelterkinden,BL,6458,9.78
Geltwil,AG,241,3.28
Gempen,SO,934,5.99
Genève,GE,209061,15.96
Genolier,VD,2012,4.86
Genthod,GE,2861,2.87
Gerlafingen,SO,5859,1.85
Geroldswil,ZH,5312,1.93
Gersau,SZ,2462,14.35
Gerzensee,BE,1301,7.81
Geuensee,LU,2941,6.47
Gibloux,FR,8393,36.06
Giebenach,BL,1136,1.34
Giez,VD,464,4.76
Giffers,FR,1703,5.22
Gilly,VD,1441,7.76
Gimel,VD,2457,18.88
Gingins,VD,1256,12.56
Giornico,TI,1762,26
Gipf-Oberfrick,AG,3887,10.17
Gisikon,LU,1515,1.08
Giswil,OW,3988,85.91
Givisiez,FR,3457,3.46
Givrins,VD,1068,3.96
Gland,VD,13987,8.31
Glarus,GL,12886,103.67
Glarus Nord,GL,19810,146.98
Glarus Süd,GL,9675,430.03
Glattfelden,ZH,5438,12.29
Gletterens,FR,1161,2.97
Goldach,SG,9783,4.71
Gollion,VD,1066,5.45
Gommiswald,SG,5718,33.59
Goms,VS,1149,129.53
Gondiswil,BE,731,9.41
Gonten,AI,1474,24.73
Gontenschwil,AG,2209,9.74
Gordola,TI,4831,6.95
Göschenen,UR,458,104.15
Gossau (SG),SG,18633,27.51
Gossau (ZH),ZH,10605,18.26
Gottlieben,TG,347,0.31
Goumoëns,VD,1206,10.69
Graben,BE,337,3.16
Grabs,SG,7488,54.65
Grächen,VS,1316,14.27
Grancia,TI,468,0.61
Grancy,VD,538,5.67
Grandcour,VD,976,10.2
Grandevent,VD,241,3.44
Grandfontaine,JU,378,8.97
Grandson,VD,3390,7.86
Grandval,BE,381,8.25
Grandvillard,FR,903,24.32
Granges (Veveyse),FR,977,4.47
Granges-Paccot,FR,3983,3.99
Grangettes,FR,212,3.31
Gränichen,AG,8692,17.23
Gravesano,TI,1398,0.71
Greifensee,ZH,5421,2.31
Grellingen,BL,1958,3.29
Grenchen,SO,18602,26.03
Greng,FR,176,0.96
Grengiols,VS,417,58.52
Grens,VD,391,2.56
Greppen,LU,1219,3.32
Gretzenbach,SO,2789,5.83
Grimisuat,VS,3962,4.45
Grindel,SO,519,3.08
Grindelwald,BE,3930,171.38
Grolley-Ponthaux,FR,2901,11.25
Grône,VS,2556,20.73
Grono,GR,1580,37.12
Grossaffoltern,BE,3070,15.08
Grossdietwil,LU,920,10.2
Grosshöchstetten,BE,4071,6.93
Grosswangen,LU,3524,19.7
Grub (AR),AR,986,4.21
Grüningen,ZH,3886,8.79
Grüsch,GR,2176,43.3
Gruyères,FR,2339,28.44
Gryon,VD,1519,15.22
Gsteig,BE,1028,62.4
Gsteigwiler,BE,436,7.02
Guggisberg,BE,1493,54.92
Gündlischwand,BE,344,16.69
Günsberg,SO,1205,5.26
Gunzgen,SO,1696,3.93
Gurbrü,BE,249,1.86
Gurmels,FR,5100,17.32
Gurtnellen,UR,487,83.31
Gurzelen,BE,876,4.52
Guttannen,BE,241,200.85
Guttet-Feschel,VS,440,10.43
Güttingen,TG,1799,9.54
Gy,GE,553,3.29
Habkern,BE,629,50.96
Habsburg,AG,431,2.23
Häfelfingen,BL,246,3.97
Hagenbuch,ZH,1168,8.13
Hägendorf,SO,5299,13.94
Häggenschwil,SG,1426,9.07
Hägglingen,AG,2588,7.75
Hagneck,BE,436,1.84
Hallau,SH,2423,15.32
Hallwil,AG,1024,2.18
Härkingen,SO,1781,5.51
Hasle (LU),LU,1842,40.31
