Gemeinde,Kanton,Einwohner,Fläche
Schwende-Rüte,AI,6108,98.33
Schwerzenbach,ZH,5250,2.65
Schwyz,SZ,16446,53.18
Scuol,GR,4546,438.61
Seeberg,BE,1599,16.8
Seedorf (BE),BE,3235,20.87
Seedorf (UR),UR,2058,19.29
Seegräben,ZH,1460,3.77
Seehof,BE,67,8.42
Seelisberg,UR,736,13.29
Seengen,AG,4494,9.69
Seewen,SO,1088,16.31
Seewis im Prättigau,GR,1450,49.63
Seftigen,BE,2188,3.89
Seltisberg,BL,1316,3.56
Selzach,SO,3690,19.47
Sembrancher,VS,1114,17.68
Sempach,LU,4380,8.91
Semsales,FR,1568,29.36
Senarclens,VD,480,3.97
Sennwald,SG,6332,41.56
Seon,AG,5652,9.62
Sergey,VD,133,1.46
Serravalle,TI,2070,96.8
Servion,VD,2228,6.32
Seuzach,ZH,7990,7.56
Sévaz,FR,318,2.5
Sevelen,SG,5411,30.33
Siblingen,SH,888,9.42
Sierre,VS,17829,19.13
Siglistorf,AG,799,5.51
Signau,BE,2698,22.13
Signy-Avenex,VD,608,1.94
Sigriswil,BE,4871,55.41
Silenen,UR,2037,144.78
Sils im Domleschg,GR,976,9.28
Sils im Engadin/Segl,GR,708,63.58
Silvaplana,GR,1124,44.77
Simplon,VS,281,91.01
Sins,AG,4491,20.31
Sion,VS,37154,34.86
Sirnach,TG,8200,12.38
Siselen,BE,633,5.51
Sisikon,UR,395,16.46
Sissach,BL,6894,8.9
Sisseln,AG,1653,2.52
Siviriez,FR,2675,20.29
Soazza,GR,324,46.42
Solothurn,SO,16847,6.28
Sommeri,TG,673,4.22
Sonceboz-Sombeval,BE,1909,14.97
Sonvilier,BE,1221,23.78
Soral,GE,942,2.94
Sorengo,TI,2183,0.85
Sorens,FR,1103,8.71
Sorvilier,BE,300,6.9
Soubey,JU,125,13.49
Soyhières,JU,453,7.5
Speicher,AR,4502,8.18
Spiez,BE,13342,16.7
Spiringen,UR,881,64.68
Spreitenbach,AG,12587,8.6
St. Gallen,SG,78863,39.38
St. Margrethen,SG,6718,6.87
St. Moritz,GR,4997,28.69
St. Niklaus,VS,2298,89.23
St. Silvester,FR,1064,7.04
St. Stephan,BE,1326,60.89
St. Ursen,FR,1419,15.72
Stabio,TI,4522,6.15
Stadel,ZH,2455,12.89
Stäfa,ZH,15152,8.59
Staffelbach,AG,1365,8.93
Stalden (VS),VS,1113,10.5
Staldenried,VS,561,14.27
Stallikon,ZH,3909,12.02
Stammheim,ZH,2947,23.96
Stans,NW,8508,11.08
Stansstad,NW,4922,9.07
Starrkirch-Wil,SO,1980,1.85
Staufen,AG,4402,3.58
Steckborn,TG,4054,8.77
Steffisburg,BE,16581,14.81
Steg-Hohtenn,VS,1726,14.03
Stein (AG),AG,3512,2.83
Stein (AR),AR,1497,9.36
Stein am Rhein,SH,3770,5.79
Steinach,SG,3581,4.5
Steinen,SZ,3774,11.85
Steinerberg,SZ,965,6.92
Steinhausen,ZG,10399,5.04
Steinmaur,ZH,3716,9.39
Stetten (AG),AG,2541,4.41
Stetten (SH),SH,1479,4.72
Stettfurt,TG,1276,6.37
Stettlen,BE,3384,3.5
Stocken-Höfen,BE,1018,14.22
Strengelbach,AG,5098,6.03
Studen (BE),BE,3537,2.73
Stüsslingen,SO,1259,8.39
Subingen,SO,3299,6.27
Suchy,VD,663,6.64
Sufers,GR,147,34.62
Suhr,AG,11617,10.62
Sulgen,TG,4152,9.12
Sullens,VD,1226,3.91
Sumiswald,BE,5209,59.34
Sumvitg,GR,1063,101.88
Surpierre,FR,1220,14.79
Sursee,LU,11029,5.83
Surses,GR,2465,323.77
Suscévaz,VD,234,4.16
Sutz-Lattrigen,BE,1398,3.57
Syens,VD,151,2.52
Tafers,FR,8026,41.35
Tägerig,AG,1547,3.29
Tägerwilen,TG,5453,11.56
Tamins,GR,1223,40.74
Tannay,VD,1746,1.8
Tartegnin,VD,235,1.09
Täsch,VS,1305,58.87
Täuffelen,BE,3084,4.4
Tavannes,BE,3505,14.78
Tecknau,BL,817,2.34
Tegerfelden,AG,1304,7.11
Tenero-Contra,TI,3393,3.7
Tenniken,BL,938,4.67
Tentlingen,FR,1382,3.61
Termen,VS,1175,18.65
Terre di Pedemonte,TI,2685,11.59
Teufen (AR),AR,6522,15.25
Teufenthal (AG),AG,1803,3.57
Teuffenthal (BE),BE,154,4.53
Tévenon,VD,862,14.28
Thal,SG,7137,9.66
Thalheim (AG),AG,956,9.92
Thalheim an der Thur,ZH,1004,6.44
Thalwil,ZH,18513,5.51
Thayngen,SH,5881,19.92
Therwil,BL,10125,7.66
Thierachern,BE,2539,7.53
Thônex,GE,16809,3.82
Thörigen,BE,1193,4.55
Thun,BE,44125,21.57
Thundorf,TG,1737,15.62
Thunstetten,BE,3587,9.66
Thurnen,BE,2060,5.95
Thürnen,BL,1459,2.26
Thusis,GR,3439,16.77
Titterten,BL,442,3.71
Tobel-Tägerschen,TG,1730,7.11
Toffen,BE,2661,4.88
Tolochenaz,VD,1934,1.59
Törbel,VS,496,16.86
Torny,FR,1095,10.18
Torricella-Taverne,TI,3087,5.25
Trachselwald,BE,916,15.96
Tramelan,BE,4727,24.82
Trasadingen,SH,619,4.14
Treiten,BE,428,4.74
Trélex,VD,1426,5.77
Tresa,TI,3126,11.04
Trey,VD,318,3.79
Treycovagnes,VD,515,2.08
Treytorrens (Payerne),VD,108,3.07
Treyvaux,FR,1642,11.4
Triengen,LU,4923,22.09
Trient,VS,175,39.56
Trimbach,SO,6854,7.6
Trimmis,GR,3424,42.87
Trin,GR,1557,47.17
Trogen,AR,1877,10.03
Troinex,GE,3145,3.43
Troistorrents,VS,5022,36.96
Trub,BE,1277,61.99
Trubschachen,BE,1510,15.65
Trüllikon,ZH,1104,9.56
Trun,GR,1141,51.9
Truttikon,ZH,458,4.41
Tschappina,GR,146,24.67
Tschugg,BE,497,3.29
Tübach,SG,1602,1.99
Tuggen,SZ,3469,13.51
Tujetsch,GR,1199,133.91
Turbenthal,ZH,5300,25.22
Turtmann-Unterems,VS,1212,42.42
Twann-Tüscherz,BE,1174,12.41
Udligenswil,LU,2475,6.22
Ueberstorf,FR,2433,16.11
Uebeschi,BE,707,4.42
Uerkheim,AG,1441,7.09
Uesslingen-Buch,TG,1139,14.03
Uetendorf,BE,6067,10.17
Uetikon am See,ZH,6663,3.46
Uezwil,AG,554,2.44
Ufhusen,LU,919,12.21
Uitikon,ZH,5699,4.38
Unterägeri,ZG,9495,25.61
Unterbäch,VS,479,22.05
Untereggen,SG,1035,7.13
Unterengstringen,ZH,4345,3.34
Unterentfelden,AG,4550,2.88
Unteriberg,SZ,2476,46.43
Unterkulm,AG,3801,8.88
Unterlangenegg,BE,1072,6.8
Unterlunkhofen,AG,1688,4.49
Unterramsern,SO,225,1.58
Unterschächen,UR,746,80.28
Unterseen,BE,5708,13.99
Untersiggenthal,AG,7812,8.28
Untervaz,GR,2674,27.72
Urdorf,ZH,10503,7.58
Urmein,GR,163,4.32
Urnäsch,AR,2373,48.16
Ursenbach,BE,903,9.17
Ursins,VD,232,3.36
Ursy,FR,4056,17.13
Urtenen-Schönbühl,BE,6545,7.19
Uster,ZH,36563,28.49
Uttigen,BE,2176,3.81
Uttwil,TG,1921,4.36
Utzenstorf,BE,4469,16.94
Uznach,SG,7038,7.54
Uzwil,SG,14570,14.49
Vacallo,TI,3491,1.63
Val de Bagnes,VS,10907,301.91
Val Mara,TI,3005,11.16
Val Müstair,GR,1430,198.65
Val Terbi,JU,3270,46.69
Val-d’Illiez,VS,2145,39.26
Val-de-Charmey,FR,2729,111.62
Val-de-Ruz,NE,17514,124.31
Val-de-Travers,NE,10691,124.74
Valbirse,BE,3974,18.68
Valbroye,VD,3425,33.55
Valeyres-sous-Montagny,VD,707,2.28
Valeyres-sous-Rances,VD,578,6.34
Valeyres-sous-Ursins,VD,235,2.87
Vallon,FR,534,3.51
Vallorbe,VD,4319,23.19
Vals,GR,958,175.56
Valsot,GR,801,158.95
Vandoeuvres,GE,3030,4.42
Varen,VS,700,12.92
Vaulion,VD,488,13.15
Vaulruz,FR,1130,10.1
Vaux-sur-Morges,VD,185,2.11
Vaz/Obervaz,GR,2732,42.51
Vechigen,BE,5982,24.82
Veltheim (AG),AG,1600,5.24
Vendlincourt,JU,557,9.15
Vernate,TI,613,1.51
Vernayaz,VS,1928,5.59
Vernier,GE,37837,7.69
Vérossaz,VS,902,14.29
Versoix,GE,13996,10.51
Verzasca,TI,776,218.48
Vétroz,VS,6605,10.43
Vevey,VD,20142,2.4
Vex,VS,1980,13.04
Veyrier,GE,12085,6.5
Veysonnaz,VS,614,1.14
Veytaux,VD,1038,6.77
Vezia,TI,1958,1.39
Vich,VD,1182,1.55
Vico Morcote,TI,408,1.97
Villars-Epeney,VD,108,0.86
Villars-le-Comte,VD,132,4.19
Villars-le-Terroir,VD,1308,7.09
Villars-Sainte-Croix,VD,953,1.65
Villars-sous-Yens,VD,602,3.04
Villars-sur-Glâne,FR,12507,5.48
Villarsel-sur-Marly,FR,69,1.39
Villarzel,VD,523,7.66
Villaz,FR,2409,15.43
Villeneuve (VD),VD,6039,31.98
Villeret,BE,924,16.24
Villigen,AG,2231,11.21
Villmergen,AG,8242,11.94
Villorsonnens,FR,1546,15.47
Vilters-Wangs,SG,5121,32.72
Vinelz,BE,910,4.57
Vinzel,VD,387,1.1
Vionnaz,VS,3024,20.95
Visp,VS,8838,13.2
Visperterminen,VS,1318,51.65
Vitznau,LU,1476,8.92
Volken,ZH,382,3.2
Volketswil,ZH,19854,14.04
Vordemwald,AG,2039,10.14
Vorderthal,SZ,1035,27.97
Vouvry,VS,4803,33.51
Vuadens,FR,2579,10.45
Vuarrens,VD,1119,8.97
Vucherens,VD,621,3.28
Vufflens-la-Ville,VD,1342,5.38
Vufflens-le-Château,VD,837,2.13
Vugelles-La Mothe,VD,146,3.07
Vuisternens-devant-Romont,FR,2383,24.02
Vuiteboeuf,VD,608,5.06
Vulliens,VD,628,6.63
Vullierens,VD,547,6.84
Vully-les-Lacs,VD,3627,21.11
Wachseldorn,BE,238,3.51
Wädenswil,ZH,25704,35.64
Wagenhausen,TG,1858,11.82
Wahlen,BL,1592,5.41
Walchwil,ZG,3995,13.54
Wald (AR),AR,929,6.83
Wald (BE),BE,1198,13.3
Wald (ZH),ZH,10620,25.27
Waldenburg,BL,1124,8.32
Wäldi,TG,1171,12.21
Waldkirch,SG,3576,31.34
Waldstatt,AR,1867,6.75
Walenstadt,SG,5926,45.72
Walkringen,BE,1829,17.21
Wallbach,AG,2065,4.55
Wallisellen,ZH,17765,6.42
Walliswil bei Niederbipp,BE,222,1.47
Walliswil bei Wangen,BE,632,3.07
Walperswil,BE,1045,6.96
Waltenschwil,AG,3186,4.54
Walterswil (BE),BE,555,7.87
Walterswil (SO),SO,772,4.48
Walzenhausen,AR,2054,7
Wangen (SZ),SZ,5583,8.46
Wangen an der Aare,BE,2920,8.13
Wangen bei Olten,SO,5532,6.96
Wangen-Brüttisellen,ZH,8292,7.92
Wängi,TG,5065,16.43
Wartau,SG,5595,41.75
Warth-Weiningen,TG,1476,8.21
Wassen,UR,431,96.88
Wasterkingen,ZH,594,3.96
Wattenwil,BE,3230,14.54
Wattwil,SG,9165,51.17
Wauwil,LU,2660,2.96
Weesen,SG,1898,5.4
Wegenstetten,AG,1017,7.12
Weggis,LU,4707,11.79
Weiach,ZH,2123,9.58
Weinfelden,TG,12504,15.48
Weiningen (ZH),ZH,5108,5.38
Weisslingen,ZH,3496,12.81
Welschenrohr-Gänsbrunnen,SO,1209,24.46
Wengi,BE,633,7.08
Wenslingen,BL,712,5.92
Werthenstein,LU,2181,15.8
Wettingen,AG,21856,10.6
Wettswil am Albis,ZH,5337,3.77
Wetzikon (ZH),ZH,26977,16.81
Wichtrach,BE,4466,11.6
Widen,AG,3815,2.62
Widnau,SG,10409,4.22
Wiedlisbach,BE,2654,7.5
Wiesendangen,ZH,6798,19.17
Wiggiswil,BE,96,1.44
Wigoltingen,TG,2640,17.13
Wikon,LU,1503,8.28
Wil (SG),SG,25176,20.82
Wil (ZH),ZH,1572,8.94
Wila,ZH,2113,9.19
Wilchingen,SH,1738,21.1
Wildberg,ZH,1013,10.57
Wilderswil,BE,2768,13.19
Wildhaus-Alt St. Johann,SG,2601,87.53
Wilen (TG),TG,2506,2.25
Wiler (Lötschen),VS,528,14.86
Wiler bei Utzenstorf,BE,1032,3.82
Wileroltigen,BE,380,4.15
Wiliberg,AG,170,1.17
Willadingen,BE,196,2.17
Willisau,LU,9242,47.22
Wimmis,BE,2735,22.35
Windisch,AG,8153,4.91
Winkel,ZH,5086,8.11
Wintersingen,BL,602,6.95
Winterthur,ZH,120376,68.07
Winznau,SO,2053,3.94
Wisen (SO),SO,438,4.79
Wittenbach,SG,10142,12.2
Witterswil,SO,1500,2.67
Wittinsburg,BL,449,3.2
Wittnau,AG,1429,11.25
Wohlen,AG,17816,12.48
Wohlen bei Bern,BE,9283,36.32
Wohlenschwil,AG,1855,4.39
Wolfenschiessen,NW,2121,92.7
Wolfhalden,AR,1888,6.93
Wölflinswil,AG,1077,9.51
Wolfwil,SO,2443,6.88
Wolhusen,LU,4747,14.29
Wollerau,SZ,7596,6.31
Worb,BE,11595,21.08
Worben,BE,2615,2.76
Wünnewil-Flamatt,FR,5814,13.27
Wuppenau,TG,1213,12.12
Würenlingen,AG,5262,9.37
Würenlos,AG,6931,9.03
Wynau,BE,1701,5.07
Wynigen,BE,2097,28.32
Wyssachen,BE,1124,11.69
Yens,VD,1498,9.51
Yverdon-les-Bains,VD,30292,13.54
Yvonand,VD,3524,13.42
Yvorne,VD,1109,12.2
Zäziwil,BE,1669,5.41
Zeglingen,BL,519,7.91
Zeihen,AG,1265,6.88
Zeiningen,AG,2545,11.37
Zell (LU),LU,2205,13.91
Zell (ZH),ZH,6809,12.97
Zeneggen,VS,355,7.56
Zermatt,VS,6099,242.72
Zernez,GR,1592,344.04
Zetzwil,AG,1381,5.8
Ziefen,BL,1708,7.82
Zielebach,BE,323,1.91
Zihlschlacht-Sitterdorf,TG,2624,12.21
Zillis-Reischen,GR,426,24.48
Zizers,GR,3691,11.01
Zofingen,AG,12876,11.08
Zollikofen,BE,11591,5.39
Zollikon,ZH,13584,7.85
Zuchwil,SO,9616,4.63
Zufikon,AG,4906,4.81
Zug,ZG,32122,21.63
Zullwil,SO,701,3.66
Zumikon,ZH,5754,5.48
Zunzgen,BL,2790,6.86
Zuoz,GR,1224,65.78
Zürich,ZH,436551,87.93
Zurzach,AG,8336,25.99
Zuzgen,AG,909,8.39
Zuzwil (BE),BE,555,3.47
Zuzwil (SG),SG,5033,8.97
Zweisimmen,BE,3059,73
Zwingen,BL,2848,4.61
Zwischbergen,VS,71,86.03
